rank,name,team_id
255,Tony Allen,19
256,Courtney Lee,20
257,Fred VanVleet,28
258,Bojan Bogdanovic,12
259,Jarell Martin,15
260,Quincy Acy,3
261,Andrew Harrison,15
262,DeAndre Liggins,17
263,Amir Johnson,23
264,Lance Thomas,20
265,Cristiano Felicio,5
266,Terrence Ross,22
267,Stanley Johnson,9
268,Marvin Williams,4
269,Malcolm Delaney,1
270,Emmanuel Mudiay,8
271,Shabazz Muhammad,18
272,Andre Roberson,21
273,Demetrius Jackson,11
274,Mario Chalmers,15
275,Patrick Patterson,21
276,Luc Mbah a Moute,11
277,Corey Brewer,14
278,Jamal Murray,8
279,Matthew Dellavedova,17
280,Markelle Fultz,23
281,Darius Miller,19
282,Semi Ojeleye,2
283,Jrue Holiday,19
284,Dante Cunningham,19
285,Mike Scott,30
286,Trevor Ariza,11
287,Dario Saric,23
288,Malik Monk,4
289,Dragan Bender,24
290,Patty Mills,27
291,Austin Rivers,13
292,Lance Stephenson,12
293,Donovan Mitchell,29
294,JR Smith,6
295,Davis Bertans,27
296,Kevon Looney,10
297,Khem Birch,22
298,Eric Moreland,9
299,David Nwaba,5
300,Quinn Cook,10
301,Joe Young,12
302,Rashad Vaughn,17
303,ETwaun Moore,19
304,James Ennis,15
305,Josh Magette,1
306,Jake Layman,25
307,JaKarr Sampson,26
308,Damyean Dotson,20
309,Jahlil Okafor,23
310,Juan Hernangomez,8
311,Dakari Johnson,21
312,Royce ONeale,29
313,DAngelo Russell,3
314,D.J. Wilson,17
315,Marreese Speights,22
316,Jabari Bird,2
317,Ryan Arcidiacono,5
318,Salah Mejri,7
319,Kyle OQuinn,20
320,Johnny OBryant,4
321,Ike Anigbogu,12
322,Maxi Kleber,7
323,Cody Zeller,4
324,Cheick Diallo,19
325,Meyers Leonard,25
326,Jeremy Lin,3
327,Sindarius Thornwell,13
328,Channing Frye,6
329,Cedi Osman,6
330,Julyan Stone,4
331,Guerschon Yabusele,2
332,Sterling Brown,17
333,Larry Nance,14
334,Bryn Forbes,27
335,Gordon Hayward,2
336,Tarik Black,11
337,Bruno Caboclo,28
338,Terrance Ferguson,21
339,Jeff Withey,7
340,Brice Johnson,13
341,Kelly Oubre,30
342,Montrezl Harrell,13
343,JaVale McGee,10
344,Bobby Brown,11
